mass,I1,J1,K1,I2,J2,K2,I3,J3,K3,width,height,depth,w1(0),w2(0),w3(0),h
1.7577E-235,2.3774E-18,0,2.3774E-18,4.02285E-87,2.1114E-131,4.02285E-87,1.4725E-248,0,1.4725E-248,0.06692774,0.373718947,0.927284828,0.761746509,0,1.36987E-95,4
7.81384E-36,4.05076E-20,6.4856E-248,4.05076E-20,1.37368E-37,0.324589631,0.324589631,0,0,0,0.063641966,1.227023435,1.197706999,2.72826E-71,1.25657E-36,1.391E-184,5
14.52963165,1.752114211,0.002893405,1.755007616,0,0,0,0,1.2219E-116,1.2219E-116,0.018249109,0.039390123,0.040422865,0,2.46291E-76,0,6
0,5.1201E-162,2.7073E-191,5.1201E-162,3.2648E-49,1.01193E-48,1.33841E-48,1.70444E-21,3.11003E-45,1.70444E-21,0.815877941,0.087456596,0.094019051,0,0,0,7
8.279595464,14.67214324,2.03615E-25,14.67214324,6.42905E-23,8.1136E-257,6.42905E-23,1.683E-108,5.24933E-23,5.24933E-23,1.247363801,0.024442805,0.708367927,0,1.59044E-75,0,8
7.14613E-46,4.98988E-12,1.732E-235,4.98988E-12,8.3493E-146,4.21439E-77,4.21439E-77,5.44525E-37,8.6112E-191,5.44525E-37,0.183286829,0.128176219,0.389422853,0.010754444,0,3.81006E-07,9
0,1.5686E-288,3.2069E-201,3.2069E-201,0,0,0,1.7253E-266,4.9702E-241,4.9702E-241,1.124311371,0.00944681,0.029846124,0,0,0,10
2.6892E-274,5.03741E-50,3.66072E-11,3.66072E-11,0,9.5661E-211,9.5661E-211,1.7E-198,1.55886E-36,1.55886E-36,1.235758337,1.309065319,0.276461568,0,0,0,11
8.6518E-134,5.2157E-105,5.96774E-19,5.96774E-19,0.129358775,0,0.129358775,0.020804752,6.61811E-16,0.020804752,0.065500471,0.678929346,0.271720623,0,1.6015E-277,0,12
5.8045E-150,0,5.2936E-136,5.2936E-136,1.67453E-16,5.6941E-288,1.67453E-16,1.00728E-75,0.179078472,0.179078472,0.008052028,0.024057831,0.553244302,9.89078E-93,0,1.66751E-97,13
7.32158E-41,4.6591E-165,9.2627E-219,4.6591E-165,0,8.84789E-16,8.84789E-16,4.66823E-22,7.0094E-256,4.66823E-22,0.129278552,0.224421207,0.1603369,1.3523E-252,8.61798E-82,2.5235E-160,14
1.7586E-08,5.02225E-59,4.77915E-14,4.77915E-14,0,2.66322E-23,2.66322E-23,0,4.43084E-80,4.43084E-80,0.005404474,0.22787417,1.193508643,1.87373E-95,0,0,15
0,8.4572E-123,1.0629E-250,8.4572E-123,7.35228E-84,1.5543E-278,7.35228E-84,3.9901E-127,6.6193E-125,6.6592E-125,1.110669215,1.082337399,0.050850578,0,0,0,16
3.8696E-286,1.16348E-50,0,1.16348E-50,1.10504E-05,0.025890553,0.025901603,1.53128E-11,2.86702E-15,1.53157E-11,0.509343342,0.020596042,0.040309544,0,2.036E-294,1.19828E-06,17
0,5.2772E-163,4.9706E-162,5.4983E-162,3.0447E-203,6.37569E-60,6.37569E-60,5.13353E-89,3.098E-169,5.13353E-89,0.008097507,1.028099541,0.345552474,0,1.48541E-29,6.0904E-210,18
9.01455E-17,1.08407E-70,0,1.08407E-70,1.1725E-108,1.6505E-164,1.1725E-108,4.93915E-80,2.15579E-44,2.15579E-44,0.040008227,0.013714645,0.019072306,0,6.75919E-27,0.912738977,19
3.7387E-264,0,4.1436E-111,4.1436E-111,9.0261E-129,0,9.0261E-129,0,1.42913E-86,1.42913E-86,0.660881524,0.451259216,0.081350787,0,0,3.03841E-36,20
3.0947E-88,1.1421E-207,7.75866E-34,7.75866E-34,0.033123467,9.2823E-162,0.033123467,2.0706E-279,9.98739E-38,9.98739E-38,0.006267021,0.018061334,0.039542202,9.38305E-86,4.9562E-129,0,21
1.1556E-168,6.73647E-25,4.0614E-135,6.73647E-25,2.24314E-38,4.2238E-216,2.24314E-38,1.6498E-128,1.6458E-184,1.6498E-128,0.636555684,0.677676608,1.271565695,2.0184E-269,0,0,22
1.63086E-42,4.60712E-94,19.71656423,19.71656423,0,5.1938E-09,5.1938E-09,3.4264E-259,0.024479435,0.024479435,0.032651983,0.059046862,0.191588534,0,6.2382E-200,5.608179045,23
3.3774E-145,2.0065E-124,0,2.0065E-124,3.7763E-111,2.6395E-263,3.7763E-111,1.7221E-209,2.5319E-108,2.5319E-108,1.038160785,0.05196856,0.154308207,0,0,0,24
3.18654E-10,8.5743E-285,0,8.5743E-285,5.6489E-148,9.18624E-25,9.18624E-25,4.85576E-12,0,4.85576E-12,0.005986822,1.328491242,1.269545515,1.5339E-15,0,0,25
15.17415459,5.088034701,2.51544E-35,5.088034701,1.983506164,9.616952087,11.60045825,1.662E-263,0.121793845,0.121793845,0.065255191,0.091046427,0.241993149,0,0,0,26
2.0807E-227,0,3.0351E-99,3.0351E-99,3.0975E-83,2.2068E-160,3.0975E-83,2.5074E-116,0,2.5074E-116,0.808989007,1.053083251,0.509651935,0,0.018621381,0,27
0.000110277,0,7.9717E-214,7.9717E-214,1.7036E-183,0.000780146,0.000780146,3.22137E-91,1.15409E-22,1.15409E-22,0.244383817,1.133941278,1.309070169,1.4285E-264,0,0,28
0,3.16519E-39,6.84207E-33,6.84207E-33,3.63723E-87,0,3.63723E-87,3.88964E-73,4.28566E-26,4.28566E-26,0.089099705,0.761398846,0.00888974,3.22642E-12,0,1.5093E-307,29
1.36959E-07,0,3.17991E-51,3.17991E-51,2.5214E-278,7.2941E-107,7.2941E-107,14.80740004,5.23436E-29,14.80740004,0.388112364,0.286624106,0.524681572,3.69708E-33,1.0917E-121,3.3103E-199,30
3.76682E-84,0,8.2224E-227,8.2224E-227,0,5.9057E-236,5.9057E-236,4.2644E-34,1.1469E-286,4.2644E-34,0.085627299,0.164801535,1.28864867,0,1.22161E-86,0.00023302,31
9.6432E-215,0,3.3882E-142,3.3882E-142,2.5587E-79,0,2.5587E-79,1.33847E-93,4.28302E-07,4.28302E-07,0.475976855,0.141068586,1.125469936,0,0,0,32
0.428667151,9.2702E-239,0.48119311,0.48119311,17.16447628,0,17.16447628,3.70781E-74,5.5592E-109,3.70781E-74,0.574409292,0.092890009,0.78809408,0.001444144,0,0,33
0,13.09936627,0,13.09936627,3.7594E-111,0.397454579,0.397454579,0,0,0,0.050711875,1.286935558,0.011441421,0,0,3.016077345,34
2.6607E-122,0,0,0,9.10663E-43,0,9.10663E-43,3.7253E-279,0,3.7253E-279,0.061045538,0.141957702,0.008457808,4.1893E-265,0,0,35
1.16387E-09,0,0,0,5.5918E-271,3.25084E-78,3.25084E-78,1.21898E-15,0,1.21898E-15,0.763144251,1.151455548,0.013887817,0,0,5.16602E-07,36
3.06848E-68,2.41287E-48,9.689618411,9.689618411,0,1.5243E-219,1.5243E-219,7.11873E-50,3.52145E-20,3.52145E-20,0.648004536,0.033300146,0.189390706,2.9361E-183,0,3.91882E-15,37
9.7916E-186,2.75959E-51,0,2.75959E-51,4.1442E-145,4.2566E-237,4.1442E-145,4.17313E-56,1.31877E-18,1.31877E-18,1.228278592,0.872938925,0.698248275,3.43021E-15,0,0,38
0,1.0747E-168,6.23742E-13,6.23742E-13,0,2.92391E-86,2.92391E-86,1.29757E-54,0,1.29757E-54,0.024968169,0.100664205,0.030613521,0.254451603,0,0,39
0,1.6719E-117,0,1.6719E-117,6.67096E-08,3.34488E-55,6.67096E-08,0.055290926,6.5026E-187,0.055290926,0.021845898,0.634074779,0.081670721,0,3.65812E-55,1.23757E-31,40
0,0,17.80211103,17.80211103,1.67104E-45,1.424673004,1.424673004,0,0,0,0.727221606,0.304150857,1.097387657,7.3056E-141,1.0539E-261,0,41
7.97561E-36,5.0996E-224,0,5.0996E-224,7.83907E-89,2.1217E-114,7.83907E-89,1.10368E-49,7.52051E-83,1.10368E-49,0.147273682,0.019287848,0.040153675,4.58204E-14,0,3.84118E-28,42
7.32116E-73,7.78984E-45,2.0542E-189,7.78984E-45,1.930166972,0,1.930166972,1.23184E-79,3.0762E-165,1.23184E-79,0.337261195,0.564258377,0.64433905,3.04978E-22,1.51766E-52,0,43
5.2737E-99,5.8884E-181,0.001293715,0.001293715,0,5.30508E-66,5.30508E-66,1.09031E-39,0,1.09031E-39,0.010626287,0.140029144,0.958340155,0,0.425934415,0,44
7.4875E-119,0.826546172,0,0.826546172,5.2857E-158,0,5.2857E-158,5.6277E-238,7.6017E-185,7.6017E-185,0.308301773,0.036531769,1.010948848,5.17041E-11,0,1.11707E-28,45
0.24663473,3.6685E-106,0,3.6685E-106,2.2493E-241,1.89827E-68,1.89827E-68,9.2675E-189,0,9.2675E-189,0.937413053,1.096358979,0.689827446,0,2.1354E-122,0,46
0,0,0,0,1.37176E-51,18.53713705,18.53713705,0,2.56398E-54,2.56398E-54,1.207574074,0.088207005,0.037694879,2.0909E-288,2.14894E-94,0,47
1.1402E-05,1.0835E-256,3.3696E-299,1.0835E-256,0,9.377524056,9.377524056,9.50827E-82,6.38887E-80,6.48396E-80,0.144736829,0.255098217,0.017234139,0,0,0,48
6.581E-238,1.81316E-86,1.6464E-258,1.81316E-86,7.6479E-245,0,7.6479E-245,1.26407E-61,4.20129E-07,4.20129E-07,0.012242577,0.005854319,0.848437657,2.17069E-92,0,0,49
15.54269342,2.569E-238,0,2.569E-238,3.8802E-274,1.5663E-178,1.5663E-178,0,1.5952E-285,1.5952E-285,1.30936379,0.547023487,0.05864529,2.77082E-98,0,4.24406E-13,50
3.0326E-130,2.140952068,2.05278E-08,2.140952088,2.06247E-42,1.83943E-10,1.83943E-10,2.12968E-32,0,2.12968E-32,0.782113247,0.027652978,0.7359587,0,0,0,51
0,2.1924E-99,1.59188E-85,1.59188E-85,0,4.938344858,4.938344858,0,0.000385081,0.000385081,1.328682261,1.324403761,1.323294683,1.71355E-36,5.64515E-11,9.46105E-93,52
7.551293338,1.21657E-29,8.6772E-213,1.21657E-29,1.5866E-190,4.4104E-113,4.4104E-113,0,0,0,1.155470794,1.114984442,0.005478491,8.55787E-21,34.86686729,6.4383E-78,53
0,0.000308656,5.58482E-62,0.000308656,3.66070425,9.902E-217,3.66070425,0,0,0,0.005604908,1.232544217,0.453331398,0,0,0,54
2.87915E-12,0,8.3956E-76,8.3956E-76,3.7488E-159,7.03111E-31,7.03111E-31,0,2.063E-165,2.063E-165,1.155052964,0.507717868,0.008401563,0,0,0,55
0.006609966,2.0109E-236,0,2.0109E-236,3.3356E-185,1.11161E-31,1.11161E-31,2.95695E-13,19.25100682,19.25100682,0.543575983,0.095587655,0.267971263,4.68092E-16,0,0,56
2.29531E-12,7.199306653,0,7.199306653,0.006092997,0,0.006092997,0,5.96621E-90,5.96621E-90,0.006345451,0.024361761,0.46916022,7.6474E-24,0,0,57
0,0,1.62133E-86,1.62133E-86,2.2839E-289,3.3074E-134,3.3074E-134,0,1.6275E-288,1.6275E-288,0.015514292,0.193651703,0.296738763,0,0,7.426910204,58
4.5023E-154,1.1221E-137,3.91392E-13,3.91392E-13,6.26521E-19,7.96661E-66,6.26521E-19,2.76526E-09,6.402411588,6.402411591,1.206814395,0.296295036,0.611137452,0.029216641,39.10003015,9.47709E-97,59
0,1.2162E-105,0.00039929,0.00039929,3.4004E-111,1.0776E-261,3.4004E-111,1.108E-271,0.115035149,0.115035149,0.817463769,1.193048746,0.554470423,3.25518E-05,2.23882E-48,0,60
3.61142E-76,2.8056E-139,4.4372E-295,2.8056E-139,3.5349E-174,6.57191E-58,6.57191E-58,15.22897936,2.3239E-147,15.22897936,0.830691932,1.325793817,0.031127945,0,0,0,61
0,1.75028E-50,1.7535E-117,1.75028E-50,1.626E-244,2.18098E-80,2.18098E-80,3.2946E-58,8.6767E-104,3.2946E-58,0.040660344,0.022960015,0.040278459,0,0,0,62
1.47104E-20,2.0073E-289,4.559E-150,4.559E-150,19.48607632,3.8402E-162,19.48607632,1.35169E-79,1.66007E-21,1.66007E-21,0.006833513,1.325870133,0.563379222,0,0.017056407,1.48625E-09,63
1.32505E-17,6.06434E-38,2.09266E-13,2.09266E-13,3.47952E-16,2.51468E-82,3.47952E-16,0,3.0087E-299,3.0087E-299,0.358853994,1.236892039,0.317013844,3.87953E-32,0,3.610775494,64
0,1.2636E-248,3.324697676,3.324697676,0,9.81046E-72,9.81046E-72,1.3467E-143,2.70775E-06,2.70775E-06,0.007031625,1.308306439,0.597845664,0,9.47236E-11,0,65
2.10806E-11,0,2.64077E-76,2.64077E-76,0,1.93491E-75,1.93491E-75,1.3088E-99,8.3033E-06,8.3033E-06,0.787890657,1.169878924,0.259287632,1.4298E-267,0,7.9872E-139,66
0,1.3996E-121,3.4552E-110,3.4552E-110,1.37875E-16,0,1.37875E-16,0,5.92117E-18,5.92117E-18,0.101126498,1.174570907,0.082745181,1.0305E-179,0,1.06436E-88,67
8.08606E-31,2.3359E-129,6.54321E-43,6.54321E-43,0,2.59204E-82,2.59204E-82,2.01482E-15,0,2.01482E-15,0.610958436,0.046447064,0.871001594,0,0,4.06142E-08,68
1.34723793,9.61656E-08,4.08694E-46,9.61656E-08,2.3326E-234,1.6633E-125,1.6633E-125,9.15121E-82,4.45534E-05,4.45534E-05,0.005604513,0.323054945,1.328681048,1.10473E-13,0,0,69
1.05739E-19,1.17507E-32,7.4955E-125,1.17507E-32,1.37947E-25,3.1059E-172,1.37947E-25,1.71147E-07,0,1.71147E-07,0.245639685,0.319596053,0.008179005,0,0,3.1497E-121,70
2.281E-209,0,3.8353E-288,3.8353E-288,6.7873E-170,0,6.7873E-170,3.2704E-131,1.24727E-44,1.24727E-44,0.065336616,0.048026574,1.322220993,0,0,1.28784E-29,71
0.21870306,0.133872771,3.41607E-31,0.133872771,0.800990401,1.2457E-158,0.800990401,8.8538E-141,4.58083E-28,4.58083E-28,1.054333755,0.203160997,0.626864188,4.9952E-189,0,0.001747395,72
15.58173929,1.24368E-45,6.56195E-90,1.24368E-45,0.019634316,3.6389E-120,0.019634316,2.99705E-17,8.4874E-147,2.99705E-17,0.886658912,0.032254846,0.015191855,1.70669E-36,0,37.56675124,73
0,2.6426E-07,7.08623E-84,2.6426E-07,4.3468E-143,1.069767938,1.069767938,0.00061581,0,0.00061581,0.020742286,0.005293091,0.169461009,2.00318E-07,0,0,74
1.5519E-199,6.4095E-70,0,6.4095E-70,4.45276E-91,8.80611E-22,8.80611E-22,5.8466E-115,1.24223E-10,1.24223E-10,0.279838549,0.059973546,0.006467768,3.9977E-108,8.449E-126,0,75
4.652E-10,4.0413E-184,1.41385E-25,1.41385E-25,0,2.1883E-108,2.1883E-108,0,6.74906E-21,6.74906E-21,1.326116343,0.00714926,1.169653885,6.91194E-41,0,17.37505843,76
7.4834E-102,1.0576E-46,0,1.0576E-46,0,2.2943E-180,2.2943E-180,6.78004E-65,0,6.78004E-65,0.489833015,0.411205437,1.315067034,8.01209E-91,2.4532E-157,0,77
4.25111E-62,1.348E-07,4.95364E-64,1.348E-07,8.3798E-203,0,8.3798E-203,0,2.9838E-235,2.9838E-235,0.603274253,0.64961413,1.329807511,0,6.2309E-240,0,78
0.000382755,1.20774E-27,0,1.20774E-27,1.24125E-16,0,1.24125E-16,0,0,0,0.358197307,0.589672013,1.316006773,0,0,1.08455E-47,79
7.2614E-292,19.08877147,1.16514E-22,19.08877147,1.92513E-44,7.3719E-266,1.92513E-44,2.36552E-20,5.6978E-33,2.36552E-20,1.135256174,0.014080322,0.863608354,4.36319E-08,2.46412E-46,0,80
7.81575E-52,3.61788E-67,0,3.61788E-67,8.8975E-149,12.27631651,12.27631651,0,9.5046E-277,9.5046E-277,0.028156331,1.060300452,0.753719851,0,1.17585E-20,1.949759849,81
2.09932E-27,2.55801E-32,0,2.55801E-32,0.001865796,0,0.001865796,5.4898E-140,2.7229E-287,5.4898E-140,0.070805455,0.308155209,1.272528149,0,0,1.7071E-147,82
1.02742E-20,0,1.1721E-137,1.1721E-137,1.633712462,9.87483E-10,1.633712463,4.0779E-163,11.10224433,11.10224433,0.080182508,1.171715664,0.0123745,1.5641E-135,0,0,83
0,0,1.34793E-29,1.34793E-29,5.95809E-62,1.8774E-214,5.95809E-62,0,8.88936E-73,8.88936E-73,0.03631223,0.986154323,0.009124712,0,0,0,84
0.009644532,17.44526875,2.2815E-259,17.44526875,2.8436E-290,4.4853E-175,4.4853E-175,1.1303E-100,3.42562E-34,3.42562E-34,0.145654673,0.084480871,0.015955743,0,0,0,85
0,0,3.80733E-29,3.80733E-29,4.6199E-151,0,4.6199E-151,1.09596E-16,3.0352E-299,1.09596E-16,0.337535486,0.852652931,1.17711765,2.1751E-251,0,1.83886E-10,86
0,2.1381E-280,1.14316E-90,1.14316E-90,2.7138E-121,5.51658E-69,5.51658E-69,6.844E-72,5.144723796,5.144723796,0.007850201,1.280124995,0.324720699,5.01094E-12,0,0,87
1.6295E-120,1.9965E-235,2.81871E-26,2.81871E-26,1.0656E-220,2.66009E-32,2.66009E-32,2.7987E-132,1.36301E-30,1.36301E-30,0.035028511,1.298870287,0.178987856,1.16425E-20,0,4.04522E-22,88
2.097691807,1.8936E-136,1.61771E-09,1.61771E-09,15.31373666,19.66403964,34.9777763,1.0963E-208,1.59687E-14,1.59687E-14,0.346831993,0.520820429,0.874537806,5.9852E-257,0,0,89
6.085398747,2.20699E-65,19.9430255,19.9430255,0,0,0,3.7882E-278,1.7191E-138,1.7191E-138,1.323514595,0.005558495,0.956459542,0,0,0.000161679,90
0.023254024,0,5.0894E-255,5.0894E-255,2.17241E-06,0,2.17241E-06,0,7.6858E-258,7.6858E-258,0.169841512,0.052113905,1.090882536,0.035893247,4.27409E-53,0,91
1.88189E-45,1.17755E-55,7.31468E-83,1.17755E-55,7.69375E-36,3.17932E-77,7.69375E-36,5.0665E-222,0,5.0665E-222,0.020581575,1.123779184,0.875506566,0,0,0,92
0,6.37444E-06,1.55028E-07,6.52946E-06,1.19784E-15,0,1.19784E-15,4.5762E-207,0,4.5762E-207,1.192923739,0.10710212,0.006196597,0,1.0334E-25,0,93
1.3959E-154,0,9.96955E-12,9.96955E-12,0.483935246,0,0.483935246,6.0191E-225,3.57542E-13,3.57542E-13,0.721938207,0.493939178,0.088688617,0,7.1321E-87,4.12559E-06,94
9.1828E-07,1.24395E-21,3.8624E-205,1.24395E-21,8.161E-103,0,8.161E-103,7.80548E-15,1.53229E-89,7.80548E-15,0.127746457,0.962828153,0.245779592,0,0,2.213E-126,95
0,0.000498061,1.08796E-26,0.000498061,0.040134507,5.14356E-17,0.040134507,7.168E-92,19.94709153,19.94709153,0.195050687,0.0562041,0.00517,0,0,0,96
0,0.00023661,2.2349E-194,0.00023661,2.03858E-56,17.78078829,17.78078829,2.24974E-08,1.2854E-157,2.24974E-08,0.009887807,0.952800753,0.935707977,35.19555047,8.9865E-11,2.11666E-96,97
1.93275E-31,3.6626E-159,3.073E-229,3.6626E-159,2.06597E-05,1.3277E-177,2.06597E-05,0,0.000185613,0.000185613,0.05200093,0.184763462,0.966451386,9.0538E-184,0,0,98
5.025144275,0,0,0,2.5578E-186,5.15411E-41,5.15411E-41,2.0148E-216,1.4235E-294,2.0148E-216,0.014978822,0.149225162,0.98860181,0,0,8.997655062,99
3.4029E-275,1.1353E-181,8.69804E-97,8.69804E-97,3.4804E-187,7.3892E-141,7.3892E-141,3.60559E-58,0,3.60559E-58,0.747630134,0.054184992,1.010466096,1.06965E-09,16.77938688,7.38466E-60,100
4.1887E-188,9.0652E-153,0.027305541,0.027305541,1.7167E-213,4.89035E-65,4.89035E-65,0.015669826,0,0.015669826,0.005428114,0.846734829,1.321086869,0,0,0,101
2.9457E-155,3.09148E-08,1.3164E-215,3.09148E-08,0,3.9396E-234,3.9396E-234,1.1369E-251,1.2369E-209,1.2369E-209,1.239856814,1.259401292,0.945080905,1.57372E-08,0,9.13721E-26,102
2.952E-102,5.43331E-34,4.68619E-48,5.43331E-34,1.9901E-178,0,1.9901E-178,7.1892E-49,2.4846E-233,7.1892E-49,0.544760518,0.191430566,0.022266585,0,0.002695296,0,103
1.828682808,1.8026E-274,6.33341E-35,6.33341E-35,3.1041E-158,0,3.1041E-158,2.64256E-05,2.2349E-254,2.64256E-05,0.959100293,0.174268179,0.085362705,1.85453E-10,0,0,104
16.22428816,1.1611E-102,1.2238E-07,1.2238E-07,4.623959825,1.98237E-15,4.623959825,1.89621E-66,0.476084361,0.476084361,0.164228022,0.049256482,0.87282191,0,0,0,105
4.90695E-14,1.0846E-128,7.1024E-153,1.0846E-128,9.43467E-53,6.96531E-08,6.96531E-08,0,2.03E-283,2.03E-283,0.769404559,1.324708029,0.036775119,0,8.2725E-116,0,106
2.64601E-67,3.3369E-16,8.60264E-58,3.3369E-16,2.72233E-46,0.00479246,0.00479246,2.2649E-119,3.164E-268,2.2649E-119,0.225070189,0.136232379,1.329193001,1.3324E-06,0,0,107
2.79909E-25,7.3946E-241,2.39604E-55,2.39604E-55,0,1.36433E-88,1.36433E-88,1.8894E-139,4.0728E-185,1.8894E-139,0.14901387,1.329805096,0.681634557,0,6.6283E-129,0,108
0,0.009796342,2.859E-201,0.009796342,7.5563E-197,2.11551E-56,2.11551E-56,1.1053E-130,2.362E-143,1.1053E-130,1.324525738,0.09221899,1.191944385,0,0,0,109
5.6038E-136,19.93396607,3.37571E-41,19.93396607,2.3479E-235,1.2279E-07,1.2279E-07,3.31514E-19,2.6382E-289,3.31514E-19,0.182171765,0.65335573,0.546734256,0,0,0,110
5.0371E-250,0,0,0,0,0,0,3.9518E-60,1.3243E-147,3.9518E-60,1.305386046,0.010654429,0.703704623,0,0.006979563,0,111
1.1073E-107,5.33077E-73,1.91132E-19,1.91132E-19,8.31107E-34,1.59741E-80,8.31107E-34,5.8364E-150,0,5.8364E-150,0.132332119,0.795644576,0.076406991,1.2152E-130,0,39.84573071,112
5.27592E-24,2.43592E-92,2.70471E-13,2.70471E-13,4.76653E-15,3.147024566,3.147024566,0,1.1675E-179,1.1675E-179,0.613377548,0.097691158,0.035705199,1.3994E-169,0,0,113
0,3.1496E-130,7.292746133,7.292746133,0,1.8876E-140,1.8876E-140,0,0,0,0.00772065,0.07822094,0.006713816,2.14602E-61,0,0,114
5.35112E-40,9.64038E-17,0,9.64038E-17,0,1.8779E-177,1.8779E-177,3.40302E-50,6.06721E-84,3.40302E-50,1.158955205,0.077376447,1.272541799,1.9457E-195,0,0,115
6.35596E-81,1.90538E-35,2.42407E-06,2.42407E-06,0,2.4555E-107,2.4555E-107,8.4451E-282,0,8.4451E-282,0.042098345,1.279812397,1.14004899,0,0,7.207E-120,116
0,5.0751E-177,1.103254376,1.103254376,0,0,0,1.57726E-24,1.6917E-259,1.57726E-24,1.183664836,0.067028441,0.350873293,1.62602E-05,0,5.4524E-215,117
4.77481E-75,0.876782166,3.26797E-15,0.876782166,2.72905E-75,0,2.72905E-75,1.8796E-257,2.8168E-216,2.8168E-216,0.011524631,1.133050529,0.903145111,6.42182E-06,0,3.2636E-238,118
3.01644E-05,14.55827541,8.54062E-96,14.55827541,0,0,0,0,2.72972E-07,2.72972E-07,0.770106792,0.203454824,0.008254144,9.33307E-94,0.101556804,0,119
0,3.9602E-171,1.043E-215,3.9602E-171,3.04804E-83,1.0592E-145,3.04804E-83,14.43929661,2.4895E-133,14.43929661,0.155295262,1.096768045,1.212557535,1.47304E-92,2.8192E-202,0,120
4.57311E-19,1.4647E-158,6.27742E-70,6.27742E-70,0,0,0,3.4899E-167,1.0283E-35,1.0283E-35,0.419651416,0.01531473,0.050871433,0,33.77279295,0,121
8.151E-120,9.76402E-92,0,9.76402E-92,0,4.9849E-08,4.9849E-08,0,0,0,0.012711953,0.408328335,1.311688051,0,0,4.49809E-93,122
0,0,0,0,0,9.23503E-09,9.23503E-09,1.31438E-24,9.06798E-57,1.31438E-24,0.010809783,0.345691834,1.212134212,1.436E-272,0,0,123
3.9118E-279,2.46941E-76,0,2.46941E-76,4.09578E-94,0,4.09578E-94,2.6361E-292,4.17291E-16,4.17291E-16,1.10383861,1.047637636,0.167179364,20.14690446,3.4002E-185,0,124
0,4.20482E-72,9.2523E-187,4.20482E-72,3.7917E-268,0,3.7917E-268,0,5.4557E-113,5.4557E-113,0.384278327,0.344832249,1.269490524,1.79957E-20,0,3.09625E-42,125
1.9877E-137,4.06489E-54,3.8032E-134,4.06489E-54,2.6292E-279,4.9995E-292,2.6292E-279,9.2602E-166,5.47704E-05,5.47704E-05,0.070844266,0.01009533,0.68737658,0,3.9444E-174,0,126
